RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2021-03-17;AFSJ21;BRBMEFAFS0R6;FINANCIAL;14650;14976;14675,11;14650;14678,1;;;13;1477
2021-03-17;AFSK21;BRBMEFAFS0S4;FINANCIAL;;;;;14729,1;;;;
2021-03-17;AFSM21;BRBMEFAFS0T2;FINANCIAL;;;;;14788,2;;;;
2021-03-17;AFSN21;BRBMEFAFS0U0;FINANCIAL;;;;;14842,8;;;;
2021-03-17;AFSQ21;BRBMEFAFS0V8;FINANCIAL;;;;;14896,5;;;;
2021-03-17;ARBJ21;BRBMEFARB0R1;FINANCIAL;;;;;60,446;;;;
2021-03-17;ARBK21;BRBMEFARB0S9;FINANCIAL;;;;;58,811;;;;
2021-03-17;ARBM21;BRBMEFARB0T7;FINANCIAL;;;;;56,978;;;;
2021-03-17;ARBN21;BRBMEFARB0U5;FINANCIAL;;;;;55,111;;;;
2021-03-17;ARBQ21;BRBMEFARB0V3;FINANCIAL;;;;;53,264;;;;
2021-03-17;ARSJ21;BRBMEFARS0G5;FINANCIAL;;;;;92475,6;;;;
2021-03-17;ARSK21;BRBMEFARS0H3;FINANCIAL;;;;;95149,3;;;;
2021-03-17;ARSM21;BRBMEFARS0I1;FINANCIAL;;;;;98382,9;;;;
2021-03-17;ARSN21;BRBMEFARS0J9;FINANCIAL;;;;;101913,9;;;;
2021-03-17;ARSQ21;BRBMEFARS0K7;FINANCIAL;;;;;105703,3;;;;
2021-03-17;AUDJ21;BRBMEFAUD3M9;FINANCIAL;;;;;4358,799;;;;
2021-03-17;AUDK21;BRBMEFAUD3N7;FINANCIAL;;;;;4363,94;;;;
2021-03-17;AUDM21;BRBMEFAUD3O5;FINANCIAL;;;;;4372,014;;;;
2021-03-17;AUDN21;BRBMEFAUD3P2;FINANCIAL;;;;;4380,967;;;;
2021-03-17;AUDQ21;BRBMEFAUD3Q0;FINANCIAL;;;;;4391,915;;;;
2021-03-17;AUSJ21;BRBMEFAUS0R7;FINANCIAL;771,9;781,3;777,58;781,2;779,786;;;10;749
2021-03-17;AUSK21;BRBMEFAUS0S5;FINANCIAL;780,5;781,4;780,77;781,4;779,856;;;2;915
2021-03-17;AUSM21;BRBMEFAUS0T3;FINANCIAL;;;;;779,934;;;;
2021-03-17;AUSN21;BRBMEFAUS0U1;FINANCIAL;;;;;780,004;;;;
2021-03-17;AUSQ21;BRBMEFAUS0V9;FINANCIAL;;;;;780,061;;;;
2021-03-17;B3SAOJ21;BRB3SA340026;FINANCIAL;51,82;53,37;52,48;53,37;53,06;;;779;274300
2021-03-17;B3SAOK21;BRB3SA350025;FINANCIAL;51,98;53,54;52,63;53,54;53,2;;;65;35500
2021-03-17;BGIH21;BRBMEFBGI5T1;AGRIBUSINESS;310,1;314,25;312,1;311,3;311,1;;;372;753
2021-03-17;BGIJ21;BRBMEFBGI5U9;AGRIBUSINESS;307,5;312,75;309,93;309,5;309,5;;;124;209
2021-03-17;BGIK21;BRBMEFBGI5P9;AGRIBUSINESS;304,5;309,2;307,15;304,9;305,35;;;819;1839
2021-03-17;BGIM21;BRBMEFBGI5Q7;AGRIBUSINESS;305,5;307,25;306,41;305,5;305,9;;;8;10
2021-03-17;BGIN21;BRBMEFBGI5W5;AGRIBUSINESS;;;;;309,95;;;;
2021-03-17;BGIQ21;BRBMEFBGI5Y1;AGRIBUSINESS;;;;;307,15;;;;
2021-03-17;BGIU21;BRBMEFBGI5Z8;AGRIBUSINESS;;;;;317,15;;;;
2021-03-17;BGIV21;BRBMEFBGI5V7;AGRIBUSINESS;320,5;324,2;322,57;321,75;321,55;;;85;207
2021-03-17;BGIX21;BRBMEFBGI609;AGRIBUSINESS;;;;;320,55;;;;
2021-03-17;BGIZ21;BRBMEFBGI5X3;AGRIBUSINESS;;;;;320,55;;;;
2021-03-17;BRIJ21;BRBMEFBRI2Y5;FINANCIAL;19407;19428;19407;19428;19428;;;3;107
2021-03-17;BRIM21;BRBMEFBRI2Z2;FINANCIAL;;;;;19506;;;;
2021-03-17;CADJ21;BRBMEFCAD3L3;FINANCIAL;;;;;4502,783;;;;
2021-03-17;CADK21;BRBMEFCAD3M1;FINANCIAL;;;;;4507,868;;;;
2021-03-17;CADM21;BRBMEFCAD3N9;FINANCIAL;;;;;4515,796;;;;
2021-03-17;CADN21;BRBMEFCAD3O7;FINANCIAL;;;;;4524,667;;;;
2021-03-17;CADQ21;BRBMEFCAD3P4;FINANCIAL;;;;;4535,489;;;;
2021-03-17;CANJ21;BRBMEFCAN0R4;FINANCIAL;1240,2;1248,3;1245,42;1240,2;1241,396;;;8;475
2021-03-17;CANK21;BRBMEFCAN0S2;FINANCIAL;;;;;1241,348;;;;
2021-03-17;CANM21;BRBMEFCAN0T0;FINANCIAL;;;;;1241,336;;;;
2021-03-17;CANN21;BRBMEFCAN0U8;FINANCIAL;;;;;1241,327;;;;
2021-03-17;CANQ21;BRBMEFCAN0V6;FINANCIAL;;;;;1241,369;;;;
2021-03-17;CCMF22;BRBMEFCCP2B0;AGRIBUSINESS;86;86,3;86,19;86,2;85,76;;;18;36
2021-03-17;CCMH22;BRBMEFCCP2A2;AGRIBUSINESS;80,8;81,5;81,25;80,8;80,8;;;21;108
2021-03-17;CCMK21;BRBMEFCCP270;AGRIBUSINESS;94,06;95,95;95,29;94,81;94,9;;;4046;6002
2021-03-17;CCMK22;BRBMEFCCP2C8;AGRIBUSINESS;;;;;69,5;;;;
2021-03-17;CCMN21;BRBMEFCCP288;AGRIBUSINESS;88,88;91;90,16;90,1;90,03;;;1368;2002
2021-03-17;CCMU21;BRBMEFCCP262;AGRIBUSINESS;84,71;85,74;85,39;84,99;84,97;;;519;923
2021-03-17;CCMU22;BRBMEFCCP2D6;AGRIBUSINESS;;;;;64;;;;
2021-03-17;CCMX21;BRBMEFCCP296;AGRIBUSINESS;85,7;86,62;86,18;85,7;85,5;;;127;194
2021-03-17;CCROOJ21;BRCCRO340025;FINANCIAL;12,03;12,56;12,2;12,46;12,39;;;184;135100
2021-03-17;CCROOK21;BRCCRO350024;FINANCIAL;12,06;12,59;12,38;12,49;12,36;;;173;129000
2021-03-17;CHFJ21;BRBMEFCHF379;FINANCIAL;;;;;6064,596;;;;
2021-03-17;CHFK21;BRBMEFCHF387;FINANCIAL;;;;;6075,821;;;;
2021-03-17;CHFM21;BRBMEFCHF395;FINANCIAL;;;;;6091,739;;;;
2021-03-17;CHFN21;BRBMEFCHF3A7;FINANCIAL;;;;;6108,977;;;;
2021-03-17;CHFQ21;BRBMEFCHF3B5;FINANCIAL;;;;;6129,129;;;;
2021-03-17;CHLJ21;BRBMEFCHL0R9;FINANCIAL;729200;733650;733452,69;729200;722038,2;;;4;130
2021-03-17;CHLK21;BRBMEFCHL0S7;FINANCIAL;;;;;721830;;;;
2021-03-17;CHLM21;BRBMEFCHL0T5;FINANCIAL;;;;;721690,5;;;;
2021-03-17;CHLN21;BRBMEFCHL0U3;FINANCIAL;;;;;722347,9;;;;
2021-03-17;CHLQ21;BRBMEFCHL0V1;FINANCIAL;;;;;724341,6;;;;
2021-03-17;CIELOJ21;BRCIEL340027;FINANCIAL;3,47;3,69;3,56;3,66;3,66;;;122;406100
2021-03-17;CIELOK21;BRCIEL350026;FINANCIAL;3,48;3,7;3,55;3,7;3,67;;;51;162000
2021-03-17;CLPJ21;BRBMEFCLP370;FINANCIAL;;;;;7741,7;;;;
2021-03-17;CLPK21;BRBMEFCLP388;FINANCIAL;;;;;7752,3;;;;
2021-03-17;CLPM21;BRBMEFCLP396;FINANCIAL;;;;;7767,4;;;;
2021-03-17;CLPN21;BRBMEFCLP3A9;FINANCIAL;;;;;7775,5;;;;
2021-03-17;CLPQ21;BRBMEFCLP3B7;FINANCIAL;;;;;7772,9;;;;
2021-03-17;CMIGPJ21;BRCMIG440022;FINANCIAL;11,87;12,18;12,08;12,13;12,19;;;78;92600
2021-03-17;CMIGPK21;BRCMIG450021;FINANCIAL;11,91;12,19;12,07;12,07;12,22;;;5;4800
2021-03-17;CNHJ21;BRBMEFCNH0R7;FINANCIAL;6492,5;6500;6492,77;6500;6496,152;;;3;361
2021-03-17;CNHK21;BRBMEFCNH0S5;FINANCIAL;;;;;6510,584;;;;
2021-03-17;CNHM21;BRBMEFCNH0T3;FINANCIAL;;;;;6526,658;;;;
2021-03-17;CNHN21;BRBMEFCNH0U1;FINANCIAL;;;;;6541,213;;;;
2021-03-17;CNHQ21;BRBMEFCNH0V9;FINANCIAL;;;;;6556,109;;;;
2021-03-17;CNYJ21;BRBMEFCNY378;FINANCIAL;;;;;8588,162;;;;
2021-03-17;CNYK21;BRBMEFCNY386;FINANCIAL;;;;;8593,311;;;;
2021-03-17;CNYM21;BRBMEFCNY394;FINANCIAL;;;;;8585,435;;;;
2021-03-17;CNYN21;BRBMEFCNY3A6;FINANCIAL;;;;;8579,536;;;;
2021-03-17;CNYQ21;BRBMEFCNY3B4;FINANCIAL;;;;;8577,722;;;;
2021-03-17;COGNOJ21;BRCOGN340017;FINANCIAL;3,94;4,16;4,01;4,1;4,13;;;113;171000
2021-03-17;COGNOK21;BRCOGN350016;FINANCIAL;3,95;4,17;4,04;4,17;4,13;;;93;163400
2021-03-17;DAPF22;BRBMEFDAP322;FINANCIAL;-0,58;-0,58;-0,58;-0,58;100488,24;-0,58;;5;350
2021-03-17;DAPF23;BRBMEFDAP3I4;FINANCIAL;;;;;97748,28;1,25;;;
2021-03-17;DAPJ21;BRBMEFDAP3H6;FINANCIAL;;;;;100414,63;-5,08;;;
2021-03-17;DAPK21;BRBMEFDAP1K4;FINANCIAL;-6,22;-6,05;-6,08;-6,22;101043,29;-6,18;;5;1640
2021-03-17;DAPK23;BRBMEFDAP1G2;FINANCIAL;1,49;1,5;1,49;1,49;96869,02;1,49;;18;4842
